9.213	4.108	16.314	4.2	36.262	5.297	36.762	4.868	10.815	4.883	10.435	5.399	5.398	3.708	4.801	4.959	894.711	63.264	5.444	532.255	580.538	5.213	4.945	4.64
193.155	4.493	186.521	4.873	426.932	4.866	270.901	4.917	195.043	5.636	145.808	5.262	4.275	4.522	4.641	3.821	5.447	5.477	6.2	4.72	4.95	5.454	5.533	4.813
5.21	4.837	4.621	4.756	5.915	5.559	4.645	5.097	5.297	5.683	4.032	5.558	5.063	5.369	4.933	5.858	738.712	33.204	5.759	237.66	274.594	5.232	4.978	4.988
54.673	4.796	71.119	5.359	180.456	5.63	144.66	5.171	45.499	5.964	43.139	5.595	5.184	4.797	4.522	4.242	4.776	5.768	5.607	4.998	4.88	5.222	5.127	4.736
557.626	4.99	436.905	4.959	809.309	5.804	605.112	4.811	508.899	5.268	417.798	5.74	5.93	4.471	4.813	5.491	685.415	19.225	5.586	105.511	81.472	5.029	5.651	4.492
5.64	5.368	4.769	5.389	5.918	5.604	5.424	4.998	5.397	4.994	5.33	5.333	5.6	4.096	5.906	4.719	6.422	4.585	5.781	5.194	5.267	5.189	5.455	4.454
5.362	4.802	4.694	4.931	5.546	5.657	5.488	4.781	4.949	5.494	4.96	5.52	4.114	4.523	5.082	5.689	632.993	12.895	6.166	62.081	56.409	5.308	5.636	4.461
5.31	4.343	4.768	5.82	5.98	5.578	4.902	5.17	4.737	5.193	5.315	5.574	5.015	4.562	5.299	5.213	5.324	5.814	5.497	5.538	5.317	5.015	5.462	4.34
5.449	4.735	4.972	4.818	5.78	5.125	5.334	4.64	5.075	5.081	5.089	5.208	5.789	5.286	5.838	5.056	620.611	10.02	5.767	27.394	28.408	5.554	5.544	4.849
5.36	4.832	5.175	5.128	5.687	5.129	4.812	5.21	5.907	5.579	4.834	5.359	4.633	4.859	4.802	4.982	5.923	6.109	5.668	4.984	5.396	5.097	5.725	5.209
5.298	4.621	4.841	4.552	5.508	5.134	4.869	5.313	5.492	4.804	4.981	5.096	4.967	4.777	5.152	4.684	481.109	7.568	5.568	21.407	20.271	4.592	5.605	4.738
4.933	4.705	4.404	4.895	4.933	5.224	4.577	5.2	4.696	4.881	5.186	5.492	4.846	4.633	5.601	5.376	5.605	5.039	5.682	5.325	5.224	4.87	5.225	4.661
5.043	4.691	4.564	4.754	5.063	4.349	4.561	4.787	4.496	4.882	4.43	5.075	4.921	4.666	4.907	5.514	252.786	4.608	6.164	14.077	13.241	4.666	5.232	5.038
4.671	3.974	4.592	5.147	4.947	4.76	4.364	4.862	4.44	4.741	4.492	4.989	4.592	4.463	4.875	4.728	5.37	5.632	5.843	4.874	5.003	5.371	4.854	5.052
4.299	3.835	4.391	4.559	4.749	4.732	4.988	5.36	4.441	5.248	4.986	4.948	3.774	4.493	4.482	4.851	126.497	4.375	5.293	11.511	9.525	5.172	5.527	4.636
4.816	4.579	4.405	4.568	5.217	5.17	4.493	4.665	4.952	5.532	4.973	5.314	4.228	4.559	4.464	4.719	5.223	5.523	5.034	4.531	4.833	5.574	5.417	4.502
